title,part_of_speech,definition,current_etymology
աբոնենտ,noun,['subscriber.'],
աբսուրդ,adj,"['absurdity, nonsense.', 'absurd.']",
ագահաբար,adv,"['greedily, avidly.', 'eagerly.']",
ագարակ,noun,"['farm; farmstead.', '(historical) landed estate.', '(historical) single-homestead settlement, khuto",
ագուցել,verb,"['transitive to fit in, to joint, to enchase.', '(transitive) to fit in, to joint, to enchase.']",
ագրեսիա,noun,"['aggression.', '(international law) war of aggression.']",
ադալաթ,noun,"['justice, fairness.']",
ազատել,verb,['to free.'],
ազատլամա,noun,"['dialectal, Karin, Sebastia liberation.', '(dialectal, Erzurum, Sivas) liberation.', '(dialectal) d",
ազգաբան,noun,"['ethnologist.', 'genealogist.']",
ազգական,noun,"['relation, relative; kinsman; kinswoman; kindred, kinsfolk.']",
ալյումին,noun,['aluminum.'],
ալրաղաց,noun,"['gristmill.', 'flour mill, gristmill.']",
ախոյան,noun,"['formal adversary, foe.', '(formal) adversary, foe.', '(sports) competitor, contestant.', '(sports,",
ախռաննիկ,noun,"[""“Do, you think about yourself and give it to us, now there is no water, but the harvest will be ou",
ածիլել,verb,"['transitive to shave.', '(transitive) to shave.']",
ածխաջուր,noun,['carbohydrate.'],
ականանետ,noun,"['military mortar, trench mortar lightweight, often portable artillery piece which transmits recoil ",
ակնարկ,noun,"['essay, overview literary genre.', 'essay, overview (literary genre).', 'hint, suggestion, allusion",
ակնարկել,verb,"[""to give a look or move one's eyes as a message or signal."", 'to hint, to allude, to remind subtly.",
աղախին,noun,"['maidservant, housemaid, maid.']",
աղամող,noun,"['tortuous, twisting; crooked, distorted.']",
աղանդեր,noun,"['formal dessert.', '(formal) dessert.']",
աղաչել,verb,"['to entreat, to beg, to pray, to implore, to supplicate (for).']",
աղաջուր,noun,"['.ogg|a=Eastern Armenian}}.', 'brine.']",
աղավնի,noun,"['dove, pigeon.']",
աղբյուր,noun,"['spring, fountain, source of water.', 'the water flowing from a spring.', 'a structure built upon a",
աղբուն,noun,"['dialectal manure prepared for fertilizing fields.', '(dialectal) manure prepared for fertilizing f",
աղոթարար,adj,"['that prays to god, that addresses god in prayer.', 'mantis, praying mantis (insect of the order Ma",
աղտոտել,verb,"['transitive to soil, to sully, to dirty.', '(transitive) to soil, to sully, to dirty.']",
աճյուն,noun,"['ashes, remains of a human.', 'ashes, remains (of a human).', 'corpse, dead body.', '(figuratively)",
ամբիցիա,noun,['ambition.'],
ամենայն,pron,"['chiefly, literary all, entire.', '(chiefly literary) all, entire.']",
ամփոփում,noun,"['summary condensed presentation of the substance of a body of material.', 'summary (condensed prese",
այբուբեն,noun,['alphabet.'],
այդպես,adv,"['so, that way, thus.']",
այլափառ,adj,"['heterodox, differing in opinion.']",
այտուց,noun,"['pathology swelling; edema.', '(pathology) swelling; edema.']",
անապեստ,noun,"['anapest.', '(poetry) anapest.']",
անասուն,noun,"['animal, beast.', 'animal, beast (usually a farm animal).', '(derogatory) brute, beast (used as a g",
անատակ,adj,"['dialectal bottomless; very deep.', '(dialectal) bottomless; very deep.']",
անդեորդ,noun,"['archaic herdsman, shepherd.', '(archaic) herdsman, shepherd.', '(archaic, astronomy) Boötes.']",
անդորր,adj,"['quiet, serenity, peace, calm.', 'quiet, serene, peaceful, calm.']",
անդրանիկ,adj,"['firstborn.', '(dated) only child, child without siblings.', '(dated) having no siblings.', '(figur",
անդրուար,noun,"['dated cart, wagon.', '(dated) cart, wagon.', '(dated) horse or mule yoked to a cart.']",
անթայր,noun,"['dated anthrax.', '(dated) anthrax.']",
անկանել,verb,"['archaic, transitive to lay the groundwork of lace; to weave; to twine.', '(archaic, transitive) to",
անկլավ,noun,['enclave.'],
անհայտ,adj,"['unknown.', '(algebra) unknown.']",
անհաջող,adj,"['unsuccessful, failed.', 'unlucky.', 'infelicitous, unfortunate.']",
անշշուկ,adj,"['silent, noiseless.', 'silently, noiselessly.']",
անորոշ,adj,"['indefinite, indistinct, vague.']",
անույշ,adj,"['dated alternative form of անուշ.', '(dated) alternative form of անուշ (anuš).']",
անուշակ,adj,"['pleasant, agreeable.']",
անջրպետ,noun,"['bar, barrier, obstacle; partition.']",
անվանում,noun,"['name, title.']",
անօդաչու,adj,"['unmanned of aerial vehicles.', 'unmanned (of aerial vehicles).', '(colloquial) ellipsis of անօդաչո",
աշտանակ,noun,['candlestick.'],
աուդիտոր,noun,['auditor.'],
ապարանք,noun,['palace.'],
ապտակել,verb,"['transitive to slap.', '(transitive) to slap.']",
ապրանք,noun,"['goods, product.']",
աջակցել,verb,"['to aid, to assist, to succour.']",
առայժմ,adv,"['for now, for the present, for the time being.', 'good bye!']",
առապար,adj,"['craggy place.', 'stony, rugged, craggy.']",
առաջարկ,noun,"['offer, suggestion, proposal.', '(economics) supply.']",
առավոտ,noun,"['morning.', '(figuratively) youth.']",
առերեսել,verb,"['to confront, to come face to face.']",
առյուծ,noun,['lion.'],
առնչել,verb,"['transitive to relate to.', '(transitive) to relate to.']",
ասպարեզ,noun,"['sphere; area, domain, field, realm.', 'racecourse, hippodrome.', 'arena.', '(dated) stadion (a uni",
ասպեկտ,noun,['aspect.'],
ասպիրանտ,noun,"['postgraduate, graduate student a person continuing to study after completing a degree.', 'postgrad",
աստված,noun,"['god.', '(often capitalized, singular only) God of Christianity.']",
